DRIVER_ID,CONSTRUCTOR_ID,QUALY_PERFORMANCE,CT_QUALY_PERFORMANCE,GRID,AFINIDAD_QUALY_3,CIRCUIT_NAME,GP_DATE,TARGET
817,9,61,139,4,4.833333333333333,Bahrain International Circuit,2017-04-16,4
13,3,14,23,8,5.888888888888889,Bahrain International Circuit,2017-04-16,8
815,10,21,44,18,3.25,Bahrain International Circuit,2017-04-16,0
154,210,7,7,9,2.0,Bahrain International Circuit,2017-04-16,0
807,4,20,24,7,3.0,Bahrain International Circuit,2017-04-16,7
839,10,23,44,14,0.0,Bahrain International Circuit,2017-04-16,0
836,15,0,0,13,0.0,Bahrain International Circuit,2017-04-16,0
826,5,1,5,11,0.0,Bahrain International Circuit,2017-04-16,0
835,4,0,24,10,0.0,Bahrain International Circuit,2017-04-16,0
4,1,9,13,15,4.2727272727272725,Bahrain International Circuit,2017-04-16,0
828,15,0,0,19,0.0,Bahrain International Circuit,2017-04-16,0
832,5,8,5,16,3.625,Bahrain International Circuit,2017-04-16,0
840,3,9,23,12,0.6666666666666666,Bahrain International Circuit,2017-04-16,0
830,9,78,139,6,6.666666666666667,Bahrain International Circuit,2017-04-16,6
825,210,0,7,20,0.0,Bahrain International Circuit,2017-04-16,0
838,1,4,13,17,0.0,Bahrain International Circuit,2017-04-16,0
822,131,122,269,3,6.285714285714286,Sochi Autodrom,2017-04-30,3
20,6,146,248,1,6.0,Sochi Autodrom,2017-04-30,1
8,6,102,248,2,6.6,Sochi Autodrom,2017-04-30,2
1,131,147,269,4,6.125,Sochi Autodrom,2017-04-30,4
830,9,78,139,7,2.4,Sochi Autodrom,2017-04-30,7
815,10,21,44,9,3.75,Sochi Autodrom,2017-04-30,0
839,10,23,44,10,0.0,Sochi Autodrom,2017-04-30,0
807,4,20,24,8,0.0,Sochi Autodrom,2017-04-30,8
13,3,14,23,6,0.0,Sochi Autodrom,2017-04-30,6
832,5,8,5,14,6.25,Sochi Autodrom,2017-04-30,0
840,3,9,23,11,0.0,Sochi Autodrom,2017-04-30,0
826,5,1,5,12,1.0,Sochi Autodrom,2017-04-30,0
825,210,0,7,13,0.0,Sochi Autodrom,2017-04-30,0
838,1,4,13,20,0.0,Sochi Autodrom,2017-04-30,0
828,15,0,0,18,0.0,Sochi Autodrom,2017-04-30,0
836,15,0,0,17,0.0,Sochi Autodrom,2017-04-30,0
817,9,61,139,5,3.6666666666666665,Sochi Autodrom,2017-04-30,5
835,4,0,24,16,0.0,Sochi Autodrom,2017-04-30,0
154,210,7,7,19,0.0,Sochi Autodrom,2017-04-30,0
4,1,9,13,15,4.0,Sochi Autodrom,2017-04-30,0
1,131,147,269,1,7.0,Circuit de Barcelona-Catalunya,2017-05-14,1
20,6,146,248,2,6.2727272727272725,Circuit de Barcelona-Catalunya,2017-05-14,2
817,9,61,139,6,4.333333333333333,Circuit de Barcelona-Catalunya,2017-05-14,6
815,10,21,44,8,2.142857142857143,Circuit de Barcelona-Catalunya,2017-05-14,8
839,10,23,44,10,0.0,Circuit de Barcelona-Catalunya,2017-05-14,0
807,4,20,24,13,0.0,Circuit de Barcelona-Catalunya,2017-05-14,0
832,5,8,5,12,4.285714285714286,Circuit de Barcelona-Catalunya,2017-05-14,0
836,15,0,0,15,0.0,Circuit de Barcelona-Catalunya,2017-05-14,0
826,5,1,5,19,2.0,Circuit de Barcelona-Catalunya,2017-05-14,0
154,210,7,7,14,9.0,Circuit de Barcelona-Catalunya,2017-05-14,0
828,15,0,0,16,0.0,Circuit de Barcelona-Catalunya,2017-05-14,0
